RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15414799,Dubois,663,France,Female,43,3,67146.18,1,0,0,107688.2,1
2,15445942,Meyer,556,Spain,Female,37,2,24173.05,3,1,0,182209.78,1
3,15222121,Oliveira,574,Germany,Female,32,1,0.0,1,1,0,199763.28,1
4,15415413,Ferreira,405,Germany,Male,46,7,0.0,1,1,1,152155.0,0
5,15139093,Robert,599,France,Male,46,2,27786.54,1,1,1,151296.95,0
6,15754020,Schmidt,632,France,Male,46,1,0.0,2,1,1,158913.79,0
7,15150453,Gomes,757,France,Female,77,5,21393.39,2,1,0,42693.28,1
8,15552647,Meyer,833,Spain,Male,30,4,94815.75,2,1,0,89798.31,0
9,15384159,Meyer,576,Germany,Male,41,5,0.0,1,0,0,155972.69,0
10,15345872,Bernard,664,Germany,Male,36,4,0.0,1,1,0,181708.04,0
11,15861425,Dubois,579,France,Male,32,2,175879.07,1,1,1,186433.86,0
12,15928422,Ferreira,764,Spain,Male,30,0,78153.26,2,1,1,11888.17,0
13,15719440,Dubois,663,Spain,Male,26,0,195008.24,1,1,0,185501.95,0
14,15973309,Souza,698,France,Female,34,8,53069.29,2,1,0,190097.91,0
15,15319775,Lima,734,France,Male,31,4,96585.01,1,1,0,11961.47,0
16,15125556,Oliveira,825,France,Female,60,3,17214.06,2,1,1,13834.02,0
17,15771706,Bernard,449,France,Female,45,4,0.0,1,0,0,62531.22,1
18,15212260,Gomes,590,Germany,Female,70,5,16782.38,3,0,1,22510.73,1
19,15449882,Dubois,687,France,Female,43,3,85716.18,2,1,0,128490.05,0
20,15692264,Martin,542,France,Female,35,6,0.0,1,1,1,95558.74,0
21,15574879,Dubois,725,Germany,Female,40,3,86334.02,2,0,0,55779.55,0
22,15489095,Martin,585,France,Female,34,3,0.0,2,0,1,160599.08,0
23,15999156,Fischer,653,France,Male,37,8,0.0,2,1,0,43959.13,0
24,15734913,Gomes,767,France,Female,45,3,247922.36,1,1,1,155942.39,0
25,15003341,Souza,488,France,Male,46,5,0.0,2,1,1,194907.72,0
26,15978292,Meyer,755,Spain,Female,38,3,85262.3,1,1,1,121139.89,0
27,15676371,Bernard,469,France,Male,23,4,80034.26,1,0,1,167082.33,0
28,15882423,Müller,706,Germany,Male,24,0,0.0,1,1,1,30315.63,0
29,15217908,Bernard,678,Germany,Male,36,2,91954.28,1,1,0,68954.64,0
30,15177041,Meyer,557,France,Male,23,1,155180.69,1,1,1,141643.7,0
31,15908394,Ferreira,745,Germany,Female,54,6,88975.52,2,1,1,143530.63,0
32,15765501,Meyer,505,France,Male,23,8,0.0,1,1,0,33538.01,0
33,15413510,Martin,751,France,Male,47,1,0.0,2,1,0,184322.5,0
34,15894061,Müller,630,Spain,Male,35,1,119447.95,1,1,1,190479.91,0
35,15767889,Bernard,557,Spain,Male,26,4,5953.82,1,1,1,17556.23,0
36,15688663,Oliveira,733,Spain,Female,57,4,0.0,1,1,0,164336.97,1
37,15999064,Fischer,627,France,Male,48,5,0.0,2,0,1,37531.46,0
38,15704881,Schmidt,582,France,Female,32,6,93239.77,2,1,1,34595.69,0
39,15188274,Dubois,695,Germany,Male,52,6,192707.27,2,0,0,143522.15,1
40,15321171,Dubois,663,France,Female,26,2,63509.66,2,1,0,26812.26,0
41,15839143,Alves,746,France,Male,31,0,183620.16,1,1,1,96041.55,0
42,15103465,Oliveira,521,France,Female,41,7,39369.63,1,1,1,83993.15,0
43,15168752,Costa,650,France,Female,46,4,42776.93,1,0,0,139522.38,1
44,15012788,Souza,802,Spain,Male,34,8,15322.59,2,1,0,161611.69,0
45,15442507,Robert,809,France,Male,18,4,0.0,1,0,0,51297.85,0
46,15362013,Souza,726,Germany,Male,60,4,88998.55,2,1,0,46353.23,0
47,15586804,Schmidt,627,France,Female,38,5,70286.65,2,1,0,182378.19,0
48,15910158,Müller,836,Germany,Female,40,2,108613.31,2,1,1,12693.68,0
49,15550193,Thomas,468,Germany,Male,44,2,0.0,2,1,0,117369.97,0
50,15885752,Bernard,614,France,Male,57,7,94847.7,2,0,0,123293.71,0
51,15738262,Thomas,672,Spain,Male,20,2,0.0,2,0,0,165856.56,0
52,15719812,Oliveira,628,Spain,Male,53,2,142483.03,2,1,0,52540.1,0
53,15794446,Müller,676,Spain,Male,41,4,0.0,1,1,0,190456.35,0
54,15343706,Ferreira,673,Spain,Female,35,5,226449.98,2,1,1,24584.52,0
55,15114122,Silva,644,Germany,Male,42,0,164090.69,1,0,0,68835.47,1
56,15383276,Gomes,666,Spain,Male,63,4,0.0,2,0,0,57853.24,0
57,15664807,Alves,731,France,Female,37,3,0.0,1,0,0,52424.79,0
58,15804612,Weber,639,France,Male,26,6,0.0,2,1,1,43073.05,0
59,15408931,Lima,690,France,Male,56,6,216891.79,2,1,0,46617.83,0
60,15273330,Fischer,525,France,Female,41,7,89177.02,2,0,0,157570.65,0
61,15733418,Costa,759,France,Female,39,6,162395.86,1,1,0,193438.34,1
62,15496522,Gomes,732,France,Female,48,6,57936.24,1,1,1,157146.34,0
63,15225430,Müller,600,Spain,Male,45,6,0.0,1,1,1,58726.07,0
64,15750520,Ferreira,720,France,Female,56,2,0.0,2,1,1,58702.58,0
65,15037047,Ferreira,714,France,Female,51,3,0.0,2,1,1,149569.91,0
66,15393830,Fischer,664,Germany,Male,37,5,32331.25,1,0,1,73776.26,0
67,15232673,Dubois,669,France,Male,32,7,0.0,2,1,1,162030.6,0
68,15319276,Santos,736,Spain,Male,47,5,62096.77,1,0,1,14319.31,0
69,15852452,Silva,671,France,Male,31,2,0.0,2,1,1,82278.08,0
70,15178474,Silva,475,Spain,Male,48,8,9763.15,1,1,1,83913.56,0
71,15907769,Ferreira,786,Spain,Male,35,6,0.0,1,0,1,73489.26,0
72,15685723,Martin,541,France,Male,27,6,56989.54,1,1,1,146759.84,0
73,15685935,Weber,537,France,Male,36,6,98733.83,1,1,0,138709.96,0
74,15488205,Robert,676,Spain,Female,50,5,196772.38,2,1,0,199108.14,0
75,15605181,Meyer,704,Germany,Male,58,0,0.0,2,0,1,127226.84,0
76,15831848,Oliveira,637,Germany,Female,50,2,149535.64,2,0,1,168788.99,0
77,15431232,Souza,610,Spain,Female,20,8,195316.92,2,1,1,56539.67,0
78,15328796,Thomas,786,France,Female,40,3,0.0,1,0,0,134552.67,0
79,15647680,Lima,644,France,Female,57,6,130488.85,1,0,1,102733.51,1
80,15808964,Martin,762,France,Male,34,4,0.0,1,1,1,172483.91,0
81,15415537,Thomas,784,Spain,Male,46,7,0.0,1,1,0,177658.68,0
82,15296044,Oliveira,645,Germany,Male,43,4,226197.86,2,1,1,59424.08,0
83,15176077,Martin,443,France,Male,33,5,144263.87,2,1,0,22826.62,0
84,15560461,Silva,831,France,Male,56,2,30229.03,2,0,1,113137.49,0
85,15632783,Silva,695,France,Female,18,1,0.0,1,1,0,74909.99,0
86,15544928,Martin,645,France,Male,43,6,35045.99,1,1,0,145529.99,0
87,15356007,Thomas,641,Germany,Male,36,1,221869.34,2,1,1,12687.98,0
88,15348965,Alves,640,Germany,Female,27,6,77020.85,1,1,0,141277.0,1
89,15747396,Ferreira,563,Spain,Male,42,4,0.0,1,1,0,113113.19,0
90,15258264,Müller,742,France,Female,42,6,1324.01,2,1,1,72567.98,0
91,15038338,Müller,803,France,Female,46,2,69988.64,2,0,0,119656.26,0
92,15316507,Weber,491,Germany,Female,43,4,243712.22,2,0,1,187639.49,0
93,15906666,Müller,579,Spain,Female,50,5,183674.4,4,1,0,178507.41,1
94,15229381,Gomes,744,Germany,Male,35,1,133090.67,2,1,1,176068.03,0
95,15213158,Robert,663,Spain,Male,48,6,184805.68,1,1,0,56214.63,0
96,15785075,Oliveira,777,France,Female,45,3,0.0,2,1,1,87641.4,0
97,15333060,Alves,752,Germany,Male,39,2,123933.32,2,0,0,25264.95,0
98,15899050,Lima,760,France,Male,46,3,197259.86,2,1,1,36113.06,0
99,15503479,Lima,686,France,Female,78,1,55840.06,1,1,0,56161.78,1
100,15639280,Santos,729,France,Female,37,7,90918.0,1,0,1,178086.52,0
101,15123205,Santos,694,France,Male,59,4,135941.03,1,1,1,34189.82,0
102,15586695,Santos,762,Germany,Male,22,2,80574.34,2,0,0,77706.07,0
103,15998828,Gomes,667,France,Male,36,2,102658.06,2,1,0,17193.95,0
104,15886303,Robert,751,Germany,Female,34,6,19092.37,1,0,0,61059.94,1
105,15107577,Martin,522,Spain,Male,48,6,0.0,1,1,1,161945.45,0
106,15142656,Müller,768,France,Female,21,0,108470.32,1,1,1,185962.43,0
107,15759070,Fischer,678,France,Female,59,1,131799.59,2,1,0,89384.45,1
108,15111311,Lima,668,Spain,Male,59,7,240880.59,1,0,0,64277.58,1
109,15968496,Ferreira,740,France,Female,48,3,196866.26,1,1,1,119813.58,0
110,15002279,Weber,644,France,Female,40,2,86424.39,2,1,1,16791.17,0
111,15591781,Weber,753,France,Female,65,2,97803.41,1,1,0,74389.37,1
112,15177515,Thomas,532,France,Female,54,4,249005.49,1,1,0,159682.33,1
113,15131904,Fischer,600,Spain,Male,49,6,0.0,2,1,0,15305.29,0
